"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 16 03:00:15 MSK 2023","Thu Mar 16 03:00:19 MSK 2023","3545","","org.example.GetOrderTest","","org.example.GetOrderTest","getOrderWithoutAuthorization","Get order without authorization",""
"passed","Thu Mar 16 03:00:02 MSK 2023","Thu Mar 16 03:00:04 MSK 2023","2332","","org.example.CreateOrderTest","","org.example.CreateOrderTest","createOrderWithoutIngredients","Create order without ingredients",""
"passed","Thu Mar 16 03:00:24 MSK 2023","Thu Mar 16 03:00:28 MSK 2023","4314","","org.example.UpdateUserParameterizedTest","","org.example.UpdateUserParameterizedTest","updateUserWithAuthorization[Update name]","Update user with authorization",""
"passed","Thu Mar 16 03:00:19 MSK 2023","Thu Mar 16 03:00:21 MSK 2023","1981","","org.example.LoginUserTest","","org.example.LoginUserTest","successfulLoginUser","Login user with valid credentials",""
"passed","Thu Mar 16 03:00:11 MSK 2023","Thu Mar 16 03:00:15 MSK 2023","4439","","org.example.GetOrderTest","","org.example.GetOrderTest","getOrderWithAuthorization","Get order with authorization",""
"passed","Thu Mar 16 03:00:22 MSK 2023","Thu Mar 16 03:00:24 MSK 2023","2377","","org.example.UpdateUserParameterizedTest","","org.example.UpdateUserParameterizedTest","updateUserWithoutAuthorization[Update name]","Update user without authorization",""
"passed","Thu Mar 16 03:00:28 MSK 2023","Thu Mar 16 03:00:31 MSK 2023","2405","","org.example.UpdateUserParameterizedTest","","org.example.UpdateUserParameterizedTest","updateUserWithoutAuthorization[Update email]","Update user without authorization",""
"passed","Thu Mar 16 03:00:31 MSK 2023","Thu Mar 16 03:00:35 MSK 2023","4310","","org.example.UpdateUserParameterizedTest","","org.example.UpdateUserParameterizedTest","updateUserWithAuthorization[Update email]","Update user with authorization",""
"passed","Thu Mar 16 02:59:59 MSK 2023","Thu Mar 16 03:00:02 MSK 2023","3044","","org.example.CreateOrderTest","","org.example.CreateOrderTest","createOrderWithIngredients","Create order with ingredients",""
"passed","Thu Mar 16 03:00:35 MSK 2023","Thu Mar 16 03:00:37 MSK 2023","2474","","org.example.UpdateUserParameterizedTest","","org.example.UpdateUserParameterizedTest","updateUserWithoutAuthorization[Update password]","Update user without authorization",""
"passed","Thu Mar 16 02:59:47 MSK 2023","Thu Mar 16 02:59:52 MSK 2023","5044","","org.example.CreateInvalidUserParameterizedTest","","org.example.CreateInvalidUserParameterizedTest","createNotFullDataUser[User without name]","Create user with invalid data",""
"passed","Thu Mar 16 03:00:04 MSK 2023","Thu Mar 16 03:00:07 MSK 2023","3108","","org.example.CreateOrderTest","","org.example.CreateOrderTest","createOrderWithAuthorization","Create order with authorization",""
"passed","Thu Mar 16 02:59:54 MSK 2023","Thu Mar 16 02:59:56 MSK 2023","2641","","org.example.CreateOrderTest","","org.example.CreateOrderTest","createOrderWithInvalidIngredients","Create order with invalid ingredients",""
"passed","Thu Mar 16 03:00:09 MSK 2023","Thu Mar 16 03:00:11 MSK 2023","1445","","org.example.CreateUserTest","","org.example.CreateUserTest","createUser","Create user",""
"passed","Thu Mar 16 03:00:21 MSK 2023","Thu Mar 16 03:00:22 MSK 2023","861","","org.example.LoginUserTest","","org.example.LoginUserTest","failLoginInvalidCredentialsUser","Login user with invalid credentials",""
"passed","Thu Mar 16 02:59:53 MSK 2023","Thu Mar 16 02:59:53 MSK 2023","818","","org.example.CreateInvalidUserParameterizedTest","","org.example.CreateInvalidUserParameterizedTest","createNotFullDataUser[User without password]","Create user with invalid data",""
"passed","Thu Mar 16 03:00:37 MSK 2023","Thu Mar 16 03:00:42 MSK 2023","4479","","org.example.UpdateUserParameterizedTest","","org.example.UpdateUserParameterizedTest","updateUserWithAuthorization[Update password]","Update user with authorization",""
"passed","Thu Mar 16 03:00:07 MSK 2023","Thu Mar 16 03:00:09 MSK 2023","1824","","org.example.CreateUserTest","","org.example.CreateUserTest","createDuplicatedUser","Create duplicated user",""
"passed","Thu Mar 16 02:59:52 MSK 2023","Thu Mar 16 02:59:53 MSK 2023","854","","org.example.CreateInvalidUserParameterizedTest","","org.example.CreateInvalidUserParameterizedTest","createNotFullDataUser[User without email]","Create user with invalid data",""
"passed","Thu Mar 16 02:59:56 MSK 2023","Thu Mar 16 02:59:59 MSK 2023","2801","","org.example.CreateOrderTest","","org.example.CreateOrderTest","createOrderWithoutAuthorization","Create order without authorization",""
